yearID,teamID,G,W,WAR,Salary,Adj_Factor,Adjusted_Salary,Attendance
2002,CHC,162,81,12.3,"$75,487,333 ",1.39,"$104,927,393 ","2,693,071"
2002,CHW,162,67,27.8,"$57,052,833 ",1.39,"$79,303,438 ","1,676,804"
2002,CIN,162,78,13,"$44,269,890 ",1.39,"$61,535,147 ","1,855,973"
2002,CLE,162,74,13.7,"$76,903,949 ",1.39,"$106,896,489 ","2,616,940"
2002,COL,162,73,15.1,"$55,201,043 ",1.39,"$76,729,450 ","2,737,918"
2002,DET,161,55,4.8,"$54,830,500 ",1.39,"$76,214,395 ","1,503,623"
2002,FLA,162,79,18.2,"$41,777,917 ",1.39,"$58,071,305 ","813,111"
2002,HOU,162,84,11.2,"$62,698,417 ",1.39,"$87,150,800 ","2,517,407"
2002,KCR,162,62,7.1,"$47,257,000 ",1.39,"$65,687,230 ","1,323,034"
2002,LAA,162,99,36.7,"$61,521,667 ",1.39,"$85,515,117 ","2,305,565"
2002,LAD,162,92,25.4,"$85,228,453 ",1.39,"$118,467,550 ","3,131,077"
2002,MIL,162,56,8.2,"$46,532,833 ",1.39,"$64,680,638 ","1,969,693"
2002,MIN,161,94,24.8,"$40,200,000 ",1.39,"$55,878,000 ","1,924,473"
2002,MON,162,83,16.5,"$38,245,500 ",1.39,"$53,161,245 ","812,537"
2002,NYM,161,75,14.2,"$91,550,260 ",1.39,"$127,254,861 ","2,804,838"
2002,NYY,161,103,28,"$125,498,583 ",1.39,"$174,443,030 ","3,461,644"
2002,OAK,162,103,25.4,"$39,781,167 ",1.39,"$55,295,822 ","2,169,811"
2002,PHI,161,80,28.9,"$55,004,999 ",1.39,"$76,456,949 ","1,618,141"
2002,PIT,161,72,8.3,"$38,321,099 ",1.39,"$53,266,328 ","1,784,993"
2002,SDP,162,66,10.1,"$41,190,000 ",1.39,"$57,254,100 ","2,220,416"
2002,SEA,162,93,28.9,"$80,282,668 ",1.39,"$111,592,909 ","3,540,482"
2002,SFG,162,95,35.3,"$78,299,835 ",1.39,"$108,836,771 ","3,253,205"
