yearID,teamID,G,W,WAR,Salary
2005,TBD,162,67,22.1,"$28,666,567 "
2005,TEX,162,79,22,"$54,877,500 "
2005,TOR,162,80,23.7,"$45,719,500 "
2005,MON,162,81,10.4,"$47,937,000 "
2006,ARI,162,76,13.2,"$59,984,226 "
2006,ATL,162,79,21.7,"$74,967,333 "
2006,BAL,162,70,20.5,"$71,646,082 "
2006,BOS,162,86,18.4,"$119,374,824 "
2006,CHC,162,90,10.2,"$90,391,166 "
2006,CHW,162,66,20.3,"$102,750,667 "
2006,CIN,162,80,11.1,"$56,819,519 "
2006,CLE,162,78,26,"$56,031,500 "
2006,COL,162,76,15.8,"$40,232,000 "
2006,DET,162,95,25.8,"$76,282,866 "
2006,FLA,162,78,17.9,"$14,671,500 "
2006,HOU,162,82,17.1,"$81,525,416 "
2006,KCR,162,62,17.9,"$46,959,000 "
2006,LAA,162,89,18.4,"$103,472,000 "
2006,LAD,162,88,19.8,"$98,092,187 "
2006,MIL,162,75,14.5,"$57,568,333 "
2006,MIN,162,96,23.9,"$63,069,006 "
2006,NYM,162,97,26.3,"$101,251,963 "
2006,NYY,162,97,28.5,"$186,663,079 "
2006,OAK,162,93,19.8,"$64,843,079 "
2006,PHI,162,85,21.3,"$87,923,333 "
2006,PIT,162,67,6.9,"$46,063,750 "
2006,SDP,162,88,27.8,"$69,896,141 "
2006,SEA,162,78,23.8,"$87,959,833 "
2006,SFG,161,76,15.8,"$90,056,419 "
2006,STL,161,83,24.2,"$87,356,371 "
2006,TBD,162,61,9.1,"$34,917,967 "
2006,TEX,162,80,22.7,"$67,897,662 "
2006,TOR,162,87,32.9,"$71,365,000 "
2006,MON,162,71,16.8,"$54,168,000 "
2007,ARI,162,90,10.5,"$52,067,546 "
2007,ATL,162,84,28.3,"$71,655,833 "
2007,BAL,162,69,17.6,"$85,650,252 "
2007,BOS,162,96,29,"$133,526,214 "
2007,CHC,162,72,17.3,"$99,287,332 "
2007,CHW,162,85,2.1,"$108,671,833 "
2007,CIN,162,72,11.9,"$68,142,480 "
2007,CLE,162,96,23.1,"$61,289,667 "
2007,COL,163,90,23.3,"$53,541,000 "
2007,DET,162,88,31.8,"$93,085,369 "
2007,FLA,162,71,18.4,"$30,127,000 "
2007,HOU,162,73,8,"$87,379,000 "
2007,KCR,162,69,15.9,"$66,917,500 "
2007,LAA,162,94,21.8,"$108,868,833 "
2007,LAD,162,82,13.5,"$108,059,524 "
2007,MIL,162,83,20.8,"$65,236,500 "
2007,MIN,162,79,19.9,"$70,649,500 "
2007,NYM,162,88,27.5,"$114,947,663 "
2007,NYY,162,94,38.5,"$206,659,045 "
2007,OAK,162,76,25.6,"$79,366,940 "
2007,PHI,162,89,32.7,"$88,668,213 "
2007,PIT,162,68,11.3,"$38,537,833 "
2007,SDP,163,89,18.9,"$57,726,567 "
2007,SEA,162,88,19.9,"$105,080,833 "
2007,SFG,162,71,7.4,"$90,219,056 "
2007,STL,162,78,18.5,"$89,904,823 "
2007,TBD,162,66,19.4,"$24,123,500 "
2007,TEX,162,75,19.2,"$67,937,675 "
2007,TOR,162,83,25.5,"$81,061,300 "
2007,MON,162,73,10.7,"$30,537,500 "
2008,ARI,162,82,7.1,"$66,202,712 "
2008,ATL,162,72,24.1,"$101,975,683 "
2008,BAL,161,68,21.6,"$59,804,580 "
2008,BOS,162,95,30.5,"$125,390,035 "
2008,CHC,163,89,20.7,"$120,345,833 "
2008,CHW,161,97,19.2,"$120,796,832 "
2008,CIN,162,74,8.3,"$69,100,195 "
2008,CLE,162,81,29,"$78,970,066 "
2008,COL,162,74,11.9,"$68,655,500 "
2008,DET,162,74,20.7,"$136,343,696 "
2008,FLA,161,84,18.3,"$19,441,500 "
2008,HOU,161,86,16.5,"$87,556,807 "
2008,KCR,162,75,7.8,"$58,970,500 "
2008,LAA,162,100,19.1,"$109,716,333 "
2008,LAD,162,84,15.2,"$102,578,135 "
2008,MIL,162,90,26,"$76,687,499 "
2008,MIN,163,88,22.1,"$56,932,766 "
2008,NYM,162,89,25,"$129,984,376 "
2008,NYY,162,89,20.8,"$211,496,041 "
2008,OAK,161,75,18.6,"$47,967,126 "
2008,PHI,162,92,28.6,"$94,302,380 "
2008,PIT,162,67,13.7,"$48,286,283 "
2008,SDP,162,63,18.2,"$72,286,416 "
2008,SEA,162,61,17.1,"$117,276,482 "
2008,SFG,162,72,3.7,"$74,094,500 "
2008,STL,162,86,31.7,"$91,476,449 "
2008,TBD,162,97,27.9,"$44,569,897 "
2008,TEX,162,79,31.8,"$67,316,996 "
2008,TOR,162,86,23.5,"$97,390,000 "
2008,MON,161,59,8.2,"$54,511,000 "
