,industry_name,seniority_name,start_day,seniority_id,days_to_close,preferred_industry_id,min_day,reference_time
197,Food Production,VP,2017-03-29,3.0,224,92.0,2017-03-29,531.0
198,Aviation & Aerospace,C-L,2017-03-30,5.0,33,82.0,2017-03-30,532.0
201,Medical Practice,VP,2017-03-31,3.0,147,75.0,2017-03-31,533.0
202,Farming,Dir,2017-03-31,2.0,32,90.0,2017-03-31,533.0
185,"Glass, Ceramics & Concrete",VP,2017-04-03,3.0,62,93.0,2017-04-03,536.0
200,Network & Security,VP,2017-04-03,3.0,11,208.0,2017-04-03,536.0
203,Aviation & Aerospace,VP,2017-04-04,3.0,261,82.0,2017-04-04,537.0
206,Tech Software & Services,C-L,2017-04-05,5.0,153,192.0,2017-04-05,538.0
205,Leasing,VP,2017-04-05,3.0,240,205.0,2017-04-05,538.0
207,Biotechnology,VP,2017-04-06,3.0,61,70.0,2017-04-06,539.0
193,Food Production,VP,2017-04-07,3.0,61,92.0,2017-04-07,540.0
209,Leasing,VP,2017-04-13,3.0,96,205.0,2017-04-13,546.0
210,Commercial Real Estate,C-L,2017-04-14,5.0,152,6.0,2017-04-14,547.0
187,"Glass, Ceramics & Concrete",VP,2017-04-17,3.0,134,93.0,2017-04-17,550.0
182,Collaboration,C-L,2017-04-17,5.0,44,197.0,2017-04-17,550.0
211,Tech Software & Services,EVP,2017-04-18,4.0,209,192.0,2017-04-18,551.0
199,Aviation & Aerospace,VP,2017-04-18,3.0,66,82.0,2017-04-18,551.0
215,SMB,VP,2017-04-20,3.0,90,212.0,2017-04-20,553.0
196,Aviation & Aerospace,VP,2017-04-20,3.0,166,82.0,2017-04-20,553.0
212,State & Local,VP,2017-04-24,3.0,89,66.0,2017-04-24,557.0
204,Mobile Apps,C-L,2017-04-24,5.0,165,207.0,2017-04-24,557.0
218,Financial Software,C-L,2017-05-04,5.0,11,204.0,2017-05-04,567.0
222,Commercial Real Estate,VP,2017-05-05,3.0,31,6.0,2017-05-05,568.0
221,Photography,VP,2017-05-05,3.0,82,163.0,2017-05-05,568.0
220,"Glass, Ceramics & Concrete",C-L,2017-05-05,5.0,6,93.0,2017-05-05,568.0
223,Financial Software,VP,2017-05-11,3.0,88,204.0,2017-05-11,574.0
224,Aviation & Aerospace,EVP,2017-05-11,4.0,64,82.0,2017-05-11,574.0
217,Aviation & Aerospace,VP,2017-05-11,3.0,68,82.0,2017-05-11,574.0
225,SMB,VP,2017-05-15,3.0,66,212.0,2017-05-15,578.0
226,Tech Software & Services,VP,2017-05-15,3.0,52,192.0,2017-05-15,578.0
227,Aviation & Aerospace,VP,2017-05-15,3.0,66,82.0,2017-05-15,578.0
228,Marketing Software,VP,2017-05-15,3.0,120,206.0,2017-05-15,578.0
229,Collaboration,C-L,2017-05-16,5.0,127,197.0,2017-05-16,579.0
191,OnDemand,VP,2017-05-17,3.0,63,217.0,2017-05-17,580.0
219,Biotechnology,C-L,2017-05-22,5.0,85,70.0,2017-05-22,585.0
231,Application & Web Development,C-L,2017-05-23,5.0,52,194.0,2017-05-23,586.0
214,Automotive,Oth,2017-05-23,8.0,108,81.0,2017-05-23,586.0
230,Aviation & Aerospace,C-L,2017-05-23,5.0,52,82.0,2017-05-23,586.0
233,Aviation & Aerospace,VP,2017-05-23,3.0,149,82.0,2017-05-23,586.0
234,Aviation & Aerospace,C-L,2017-05-24,5.0,34,82.0,2017-05-24,587.0
236,"Glass, Ceramics & Concrete",VP,2017-05-24,3.0,12,93.0,2017-05-24,587.0
237,Gambling & Casinos,Inv,2017-05-25,7.0,46,10.0,2017-05-25,588.0
240,Services,C-L,2017-05-30,5.0,28,211.0,2017-05-30,593.0
238,Services,C-L,2017-05-30,5.0,28,211.0,2017-05-30,593.0
239,Services,C-L,2017-05-30,5.0,28,211.0,2017-05-30,593.0
241,Application & Web Development,C-L,2017-05-31,5.0,76,194.0,2017-05-31,594.0
235,Medical Devices,EVP,2017-06-05,4.0,98,74.0,2017-06-05,599.0
242,Manufacturing,EVP,2017-06-05,4.0,140,79.0,2017-06-05,599.0
244,Biotechnology,EVP,2017-06-05,4.0,15,70.0,2017-06-05,599.0
247,Biotechnology,VP,2017-06-09,3.0,145,70.0,2017-06-09,603.0
246,Aviation & Aerospace,VP,2017-06-12,3.0,156,82.0,2017-06-12,606.0
249,Alternative Medicine,C-L,2017-06-12,5.0,148,69.0,2017-06-12,606.0
250,State & Local,VP,2017-06-12,3.0,15,66.0,2017-06-12,606.0
232,Political Organization,C-L,2017-06-13,5.0,134,61.0,2017-06-13,607.0
251,Healthcare Tech,C-L,2017-06-13,5.0,63,219.0,2017-06-13,607.0
252,Manufacturing,VP,2017-06-13,3.0,98,79.0,2017-06-13,607.0
254,Leasing,C-L,2017-06-15,5.0,4,205.0,2017-06-15,609.0
255,Collaboration,VP,2017-06-15,3.0,42,197.0,2017-06-15,609.0
259,Farming,C-L,2017-06-19,5.0,130,90.0,2017-06-19,613.0
257,"Glass, Ceramics & Concrete",VP,2017-06-19,3.0,38,93.0,2017-06-19,613.0
258,Gambling & Casinos,Inv,2017-06-19,7.0,43,10.0,2017-06-19,613.0
216,Gambling & Casinos,Inv,2017-06-21,7.0,183,10.0,2017-06-21,615.0
261,Utilities,C-L,2017-06-26,5.0,119,42.0,2017-06-26,620.0
256,"Glass, Ceramics & Concrete",C-L,2017-06-26,5.0,80,93.0,2017-06-26,620.0
262,"Glass, Ceramics & Concrete",VP,2017-06-27,3.0,73,93.0,2017-06-27,621.0
263,Leasing,EVP,2017-06-29,4.0,21,205.0,2017-06-29,623.0
265,Software,VP,2017-06-30,3.0,89,213.0,2017-06-30,624.0
260,State & Local,C-L,2017-07-01,5.0,165,66.0,2017-07-01,625.0
266,Software,VP,2017-07-06,3.0,74,213.0,2017-07-06,630.0
267,State & Local,Dir,2017-07-06,2.0,102,66.0,2017-07-06,630.0
264,Leasing,EVP,2017-07-06,4.0,111,205.0,2017-07-06,630.0
253,Sales/Client Management Software,VP,2017-07-07,3.0,94,220.0,2017-07-07,631.0
271,Alternative Medicine,C-L,2017-07-11,5.0,51,69.0,2017-07-11,635.0
273,Alternative Medicine,C-L,2017-07-12,5.0,35,69.0,2017-07-12,636.0
274,Food Production,Dir,2017-07-13,2.0,43,92.0,2017-07-13,637.0
277,K-12,VP,2017-07-17,3.0,71,32.0,2017-07-17,641.0
279,Commercial Real Estate,VP,2017-07-18,3.0,59,6.0,2017-07-18,642.0
278,Farming,VP,2017-07-18,3.0,101,90.0,2017-07-18,642.0
276,Virtualization,VP,2017-07-18,3.0,76,215.0,2017-07-18,642.0
283,Banking,Dir,2017-07-20,2.0,33,4.0,2017-07-20,644.0
284,Alternative Medicine,C-L,2017-07-24,5.0,136,69.0,2017-07-24,648.0
268,"Glass, Ceramics & Concrete",VP,2017-07-24,3.0,108,93.0,2017-07-24,648.0
282,Aviation & Aerospace,VP,2017-07-25,3.0,132,82.0,2017-07-25,649.0
285,Leasing,C-L,2017-07-25,5.0,94,205.0,2017-07-25,649.0
269,Aviation & Aerospace,VP,2017-07-26,3.0,106,82.0,2017-07-26,650.0
280,Retail,C-L,2017-07-28,5.0,11,125.0,2017-07-28,652.0
272,Manufacturing,C-L,2017-07-28,5.0,82,79.0,2017-07-28,652.0
288,Gambling & Casinos,VP,2017-07-28,3.0,47,10.0,2017-07-28,652.0
287,Aviation & Aerospace,C-L,2017-07-28,5.0,88,82.0,2017-07-28,652.0
289,Business Solutions,C-L,2017-08-01,5.0,98,196.0,2017-08-01,656.0
290,Marketing and Advertising,C-L,2017-08-07,5.0,46,161.0,2017-08-07,662.0
292,Financial Software,C-L,2017-08-08,5.0,34,204.0,2017-08-08,663.0
293,Trading,VP,2017-08-09,3.0,79,41.0,2017-08-09,664.0
294,Alternative Medicine,C-L,2017-08-09,5.0,90,69.0,2017-08-09,664.0
295,"Glass, Ceramics & Concrete",C-L,2017-08-09,5.0,86,93.0,2017-08-09,664.0
296,State & Local,EVP,2017-08-10,4.0,113,66.0,2017-08-10,665.0
286,Food Production,VP,2017-08-10,3.0,99,92.0,2017-08-10,665.0
291,Leasing,C-L,2017-08-21,5.0,114,205.0,2017-08-21,676.0
299,Business Solutions,VP,2017-08-23,3.0,45,196.0,2017-08-23,678.0
301,Software,VP,2017-08-24,3.0,95,213.0,2017-08-24,679.0
300,Leasing,VP,2017-08-30,3.0,72,205.0,2017-08-30,685.0
298,Healthcare Tech,C-L,2017-09-11,5.0,58,219.0,2017-09-11,697.0
